HVH_028_0030_0001	次支 八世 九世
HVH_028_0030_0002	周文鄰 周仲世 周伯邢
HVH_028_0030_0003	周有翼 早没
HVH_028_0030_0004	墓凍污処 十一月十一日 妣馮氏𡔪 生周伯邢周伯騮 墓東污
HVH_028_0030_0005	墓凍污 六月初三日 妣陳氏拾 生周氏𦎛氏𧸘 墓凍污処 四月二十八日
HVH_028_0030_0006	次支 八世 九世 十世 十一世
HVH_028_0030_0007	世一 世二 世三 世四
HVH_028_0030_0008	考周名利 妣馮氏𡔪 生周伯𩥇
HVH_028_0030_0009	考周伯𩥇 妣喬氏諧 生周文騰 周氏𡜵 周文悲
HVH_028_0030_0010	考周文騰 妣范氏秀 生周文同
HVH_028_0030_0011	考周文同 生周氏受
HVH_028_0030_0012	墓秩密処 六月初七日
HVH_028_0030_0013	墓窆処坦𪵱 十二月二十日
HVH_028_0030_0014	墓窆処桾𣛨 九月十五日
HVH_028_0030_0015	墓同穉処 二月初九日
HVH_028_0030_0016	墓窆綿処 五月二十六日
HVH_028_0030_0017	墓坛祭処 五月二十五日
HVH_028_0030_0018	墓坛祭処 七月二十三日
