HVH_029_0003_0001	亨集今來古往幾桑滄。
HVH_029_0003_0002	萬古千今合一堂。
HVH_029_0003_0003	森列九天星耀影。
HVH_029_0003_0004	廣開十地月餘光。
HVH_029_0003_0005	尋常那識霜花白。
HVH_029_0003_0006	智勇難知野草黃。
HVH_029_0003_0007	深意底傳今又古。
HVH_029_0003_0008	古今來古往幾桑滄。
HVH_029_0003_0009	迴文格鑒壇韓僊奉啓序。
HVH_029_0003_0010	且自河馬出而八卦成。
HVH_029_0003_0011	洛龜出而九疇敘。
HVH_029_0003_0012	文明之運兆矣。
HVH_029_0003_0013	造化之秘洩焉。
HVH_029_0003_0014	以及洙泗刪經。
HVH_029_0003_0015	揭中天之日月。
HVH_029_0003_0016	程朱繼統。
HVH_029_0003_0017	開積世之雲霾。
HVH_029_0003_0018	當此之時。
HVH_029_0003_0019	古今可不錄也。
HVH_029_0003_0020	乃自鷯
