HVH_029_0009_0001	蒼人意此四人意勝憐心爲世眼茫茫迴文格
HVH_029_0009_0002	四將排班吾回矣
HVH_029_0009_0003	朔二日寅時
HVH_029_0009_0004	文昌帝君詩花生桂殿月生光拭目翹人念念長多以
HVH_029_0009_0005	春園雲乱自往來秋院菊飄黄或詩懶咏朱衣點述賦
HVH_029_0009_0006	慚看紫服粧欲咏花中誰是主嗟嗟世上一雲場迴文格
HVH_029_0009_0007	訓嗟乎風清槐苑月朗棘園衣冠濟濟蹌笏師師鬱
HVH_029_0009_0008	我心思求一文士而何希聲而何淡味策吾志氣求
HVH_029_0009_0009	古今傳錄亨集
HVH_029_0009_0010	九
HVH_029_0009_0011	一文人而何夏雪而何秋雲父子君臣兄弟朋友誰
HVH_029_0009_0012	孝於親誰忠於主誰悌於兄誰信於友天父地母祖
HVH_029_0009_0013	德宗功誰無唾地誰不指東誰其追遠誰其慎終謂
HVH_029_0009_0014	不必忠誰誰鍾誰鼎謂不必孝誰性誰命悌耶信耶誰
HVH_029_0009_0015	存善性謂天不敬誰雨誰風謂地不敬誰圃誰農功
HVH_029_0009_0016	耶德耶誰事祖宗日日乘風時時駕雨我心悠悠望
HVH_029_0009_0017	人回首雲遊寰宇鶴駕春秋我心切切望人回頭序
HVH_029_0009_0018	屬三秋時丁九月欽哉訓詞予卑懇切玆訓
