HVH_029_0030_0001	丁未年。
HVH_029_0030_0002	九月初九日子時。
HVH_029_0030_0003	同善壇敬奉昊天至尊金闕玉皇玄穹高上帝諭曰。
HVH_029_0030_0004	蒼蒼者天。
HVH_029_0030_0005	寂若無言。
HVH_029_0030_0006	高高在上。
HVH_029_0030_0007	監臨不遠。
HVH_029_0030_0008	而何世人。
HVH_029_0030_0009	惛惛總總。
HVH_029_0030_0010	愚愚癡癡。
HVH_029_0030_0011	不知過之當改。
HVH_029_0030_0012	善之當為。
HVH_029_0030_0013	以致黑氣上衝。
HVH_029_0030_0014	劫運頻降。
HVH_029_0030_0015	已而已而。
HVH_029_0030_0016	菊為風打。
HVH_029_0030_0017	梅被霜飛。
HVH_029_0030_0018	此世何世。
HVH_029_0030_0019	今時何時。
HVH_029_0030_0020	勉之勉之。
HVH_029_0030_0021	尚克敬思。
HVH_029_0030_0022	傳。
HVH_029_0030_0023	據見關張呂與李。
HVH_029_0030_0024	日叩予降壇。
HVH_029_0030_0025	照之汝壇微誠差可取。
HVH_029_0030_0026	特一降耳。
HVH_029_0030_0027	古今傳錄亨集三十關聖傳。
HVH_029_0030_0028	諸神急急。
HVH_029_0030_0029	扈從龍駕回通明宮。
HVH_029_0030_0030	依命。
HVH_029_0030_0031	若違者罪滔天矣。
HVH_029_0030_0032	懍之。
HVH_029_0030_0033	紅光玲瓏。
HVH_029_0030_0034	瑞氣浮空。
HVH_029_0030_0035	吾同二帝擁駕回天宮去。
HVH_029_0030_0036	戌時趙將軍示。
HVH_029_0030_0037	庭外西邊。
HVH_029_0030_0038	預設一席。
HVH_029_0030_0039	籠罩宣畢。
HVH_029_0030_0040	奉筆三生。
HVH_029_0030_0041	就此席西向七拜。
HVH_029_0030_0042	豫取黃金紙。
HVH_029_0030_0043	先寫年月日時某壇欽奉奎宮大成至聖文宣王等字。
HVH_029_0030_0044	以便臨時評讀我回 眾將降心懷 文星護少奉仝時
