HVH_029_0031_0001	寡將軍詩天青月白白雲飛步月來雲到二埠箋報遞
HVH_029_0031_0002	來交夜黑命傳飛到度星輝翻翻鳳輦青龍擁奕奕鸞
HVH_029_0031_0003	車赤兔隨邊壁一聲雷動地川山氣鬱霧霜飛廻文格
HVH_029_0031_0004	示玉車已駕三聖擁隨聖命吾來報生等急急點燈
HVH_029_0031_0005	衣服齊整俟四刻後奎宮龍車到壇罷事已在詩中
HVH_029_0031_0006	矣生等静聽我回迎駕（此時雲霧四黑雷自西來及龍駕回雷復自去少頃晴明）
HVH_029_0031_0007	丁未年九月初九日亥時回善壇欽奉
HVH_029_0031_0008	奎宮大成至聖文宣王
HVH_029_0031_0009	古今傳錄亨集 三十一
HVH_029_0031_0010	諭曰世事如梭人情如石欲回至道難挽文明兹者
HVH_029_0031_0011	回善壇頗知同心向善邀予降訓予無他訓也盡三
HVH_029_0031_0012	綱四維而止推之親親而仁民仁民而愛物善以充
HVH_029_0031_0013	之欽哉是諭
HVH_029_0031_0014	傳據見關張呂與蘇曰叩予降壇嘉爾壇能向善特一降耳
HVH_029_0031_0015	文聖傳諸神急急扈從龍駕同無量洞天依命若違者
HVH_029_0031_0016	罪滔天矣凛之文風練練祥雲重重吾同二帝擁駕（回奎宮去）
HVH_029_0031_0017	十一日寅時
