HVH_029_0036_0001	玉皇壇説
HVH_029_0036_0002	且天人一理幽顯何殊人所行皆合天道也觀重陽
HVH_029_0036_0003	之壇則見也何也絲懸屋極卽北極中天之處也上
HVH_029_0036_0004	亭青絹卽天之正色也紅絹四圍者乾坤艮巽四角
HVH_029_0036_0005	者坎離震兌八方也而八卦也占東方桃枝其身青
HVH_029_0036_0006	色木象也其時屬春銅盤西方金象也其時屬秋紅
HVH_029_0036_0007	糯米與四圍絹俱紅色卽南方火象也其時屬夏絲
HVH_029_0036_0008	一用玄卽北方水象也其時屬冬其外葉龍燈黄色
HVH_029_0036_0009	古今傳録 亨集
HVH_029_0036_0010	三十六
HVH_029_0036_0011	者中央土也四季也五方而具五色也中置龍腦沉
HVH_029_0036_0012	木薰蒸者雲霧也東方九耀燈奇也陽數也西方十
HVH_029_0036_0013	二耀燈偶也陰數也北方七燈卽北斗南方六燈卽
HVH_029_0036_0014	南斗也候駕二十八人二十八燈卽二十八宿之象
HVH_029_0036_0015	也且陽者天象重九則陽數且重九之子時天開之
HVH_029_0036_0016	時也燈光閃爍者衆星光也候駕並跪衆星拱也燈
HVH_029_0036_0017	光弄一方者卽天上辰位也兩龍燈光明卽日月也
HVH_029_0036_0018	仰視天文俯觀人事兩相肖而兩相形也吾願世人
