HVH_029_0046_0001	之身宜也時一家浪非分名身終達論賜所
HVH_029_0046_0002	和轉秋、仰陌兮花衢、客多賞、燕人稠、尋芳蘭飄香兮
HVH_029_0046_0003	菊飄香、
HVH_029_0046_0004	賜阮生詩、秋深節晚菊花黃、可愛名花晚節香、流水滔滔門北海、谷風習習待東皇、遊人莫得分青白、醉客伊誰判素蒼、幽景轉效成勝景、秋深節晚菊花黃、雙
HVH_029_0046_0005	全詩
HVH_029_0046_0006	鑒壇翰僊詩、山梅岸柳鬪春粧、白白青青向夕陽、攀桂豈煩秋月照、採蘭頻待露花光、班班松嶺冬風耐、灔灔
HVH_029_0046_0007	古今傳錄享集
HVH_029_0046_0008	四十六
HVH_029_0046_0009	蓮江夏日長、歡樂樂看花、四序、山花色色點春芳、昶文格
HVH_029_0046_0010	示、重陽之事已成、天恩沛矣、聖心樂矣、命吾輩詠壇
HVH_029_0046_0011	生、何係開重於重陽之事者、先賜詩、存俟後益壇生
HVH_029_0046_0012	誰無勞苦、然有輕有重、故聖命先賜其重者、我今承
HVH_029_0046_0013	命、以循書例、聊作一歌、
HVH_029_0046_0014	歌、山梅岸柳點粧柳、舒岸上梅光、山頭何如序、屬三
HVH_029_0046_0015	秋、蘭鋪蓀白菊舒花黃、秋陽重遇秋陽、採花兜上尋、
HVH_029_0046_0016	芳林叢人步步客、忽忽香飄紫服、蘆衝紅裙、何煩翹
