HVH_030_0004_0001	列月
HVH_030_0004_0002	勿牽遲庶無誤事 (准惟大喪者方得過避餘期年以下並令行禮並令飲酒 / 不可拘執倘確有事故者必須先期告欠以屢其敬)
HVH_030_0004_0003	一嘗新節准依誕節錢數炤給得于交勾當支辨與許守祠錢並
HVH_030_0004_0004	同誕例其禮品亦炤依誕正禮供辦惟粢盛壹盤與或磁 (不磁) 宜
HVH_030_0004_0005	純用新糯准增前數 (共做錢五貫) 且宜加辨辰鳥陸只嫩糯與磁嫩糯併
HVH_030_0004_0006	叁件紅柿 (用上好項) 拾貳窠新剛飯叁甂其禮物勾當具遶祠所飭守
HVH_030_0004_0007	祠致請仝甲列員並列户主齊就行禮祭畢餒餘其牲肉粢盛
HVH_030_0004_0008	青蕉尖留俵侍受福並依誕列惟嫩糯餅均甲内列員紅柿均
HVH_030_0004_0009	甲内每員壹窠餘作具嫩糯與辰鳥一併作具 (這礼其金銀應省)
HVH_030_0004_0010	一嘗新禮期遶年應炤辰物早晚隨辰準日不可預定庶無太過不
HVH_030_0004_0011	及之失
HVH_030_0004_0012	一沐浴與謁禮準於式誕前壹日應辦至如嘗新節宜省
HVH_030_0004_0013	一遶年叁大禮 (式誕 / 嘗新) 定以當次勾當命年不可推諉倘或確有喪故
HVH_030_0004_0014	(期年 / 以上) 與病緣者宜先辭與甲内長者權代其朔望禮專由勾
HVH_030_0004_0015	當主年不得告欠至如寫文必由科場與中壹式場員人專辨
HVH_030_0004_0016	至期宜先壹日預寫檢閱詳悉要得精謹楷正庶無失禮
HVH_030_0004_0017	一週年各節 (下標：春節前十、上元、中秋、重三、重九、重十、中元、臘日請除夕)
HVH_030_0004_0018	炤本甲列户
HVH_030_0004_0019	三
