HVH_030_0006_0001	其朔望之禮
HVH_030_0006_0002	一遞年三大禮（或新當誕）與一切朔望禮并甲内慶吊等事定以甲内句當三
HVH_030_0006_0003	員輪次週辦每年分為叁期每員肆月（自正月朔至四月底壹員自五月朔至八月厎壹員自九月朔至十二月底壹員專辦）其輪次以入甲先后為序至如坐次宜視分位（科場爵品）秩年齒
HVH_030_0006_0004	高下推讓毋相凌躒以美風俗
HVH_030_0006_0005	一列户入甲例出錢文壹貫（甲内子孫準錢陸陌）謁神禮酒壺甁椰芙叁拾只其錢
HVH_030_0006_0006	留公其椰芙均甲内
HVH_030_0006_0007	一嗣後甲内子孫不拘已未出竈均許入甲並帖（從）鄉飲例惟輪次句
HVH_030_0006_0008	當供應壹欵其未出竈者準免
HVH_030_0006_0009	一甲内員人望例中科（秀才以上陞秩文九品以上武率隊以上）納錢陸貫陞壽（字）納錢叁（以上納錢叁）
HVH_030_0006_0010	貫且必敬辨謁
HVH_030_0006_0011	神禮（猪雞隨辦）詳與公甲証知公甲合行量準應在之位推戴以見
HVH_030_0006_0012	别尊餘未至此地位仍遵序齒之禮
HVH_030_0006_0013	一新入甲而係科（秀才以上）爵（文九品以上武率隊以上）齒（六十以上）者擬應炤納望錢依例亦
HVH_030_0006_0014	擬推尊
HVH_030_0006_0015	上貳欸若或未辨望例者不得妄自跂上以嚴甲例
