HVH_031_0007_0001	文昌帝君功過格序。
HVH_031_0007_0002	善惡者功過之未形者也。
HVH_031_0007_0003	功過者善惡之已見者也。
HVH_031_0007_0004	人性有善而無惡。
HVH_031_0007_0005	奈何多過而鮮功。
HVH_031_0007_0006	皆由一念敬肆之分。
HVH_031_0007_0007	而天堂地獄遂判。
HVH_031_0007_0008	入乎善則為賢聖。
HVH_031_0007_0009	入乎惡則為下愚。
HVH_031_0007_0010	今天下自命為絕世聰慧之人者。
HVH_031_0007_0011	我視之皆絕世懵懂之人也。
HVH_031_0007_0012	百計欺人。
HVH_031_0007_0013	豈知神不可欺。
HVH_031_0007_0014	多方瞞世。
HVH_031_0007_0015	豈知天不可瞞。
HVH_031_0007_0016	所以報應隨之。
HVH_031_0007_0017	不及其身。
HVH_031_0007_0018	必及其子孫耳。
HVH_031_0007_0019	太上有言曰。
HVH_031_0007_0020	吉人視善。
HVH_031_0007_0021	語善。
HVH_031_0007_0022	行善。
HVH_031_0007_0023	一日有三善。
HVH_031_0007_0024	三年天必降之福。
HVH_031_0007_0025	凶人視惡。
HVH_031_0007_0026	語惡。
HVH_031_0007_0027	行惡。
HVH_031_0007_0028	一日有三惡。
HVH_031_0007_0029	功過格校編 文帝序 五三年天必降之禍。
HVH_031_0007_0030	則善惡之念。
HVH_031_0007_0031	慮一萌。
HVH_031_0007_0032	鬼神早已窺見肺腑。
HVH_031_0007_0033	可不懼與。
HVH_031_0007_0034	蕉窓十則懲勉備焉。
HVH_031_0007_0035	陰騭千言。
HVH_031_0007_0036	勸戒具焉。
HVH_031_0007_0037	皆所以發明感應篇之旨要。
HVH_031_0007_0038	亦同條而共貫。
HVH_031_0007_0039	吾不忍人之安於下愚。
HVH_031_0007_0040	亦甚樂人之勉為賢聖。
HVH_031_0007_0041	思夫檢束身心。
HVH_031_0007_0042	防閑性命。
HVH_031_0007_0043	積功改過之法。
HVH_031_0007_0044	無過功過格一書。
HVH_031_0007_0045	我願當世自好之士。
HVH_031_0007_0046	奉行勿替。
HVH_031_0007_0047	案頭日置一册。
HVH_031_0007_0048	勿以善小而不為。
HVH_031_0007_0049	勿以惡小而為之。
HVH_031_0007_0050	勿猒功而勤寫。
HVH_031_0007_0051	勿文過而停書。
HVH_031_0007_0052	發憤有為。
HVH_031_0007_0053	是誠在我。
HVH_031_0007_0054	行之久久。
HVH_031_0007_0055	自幾於有功無過之地。
HVH_031_0007_0056	而為天地間一正人君子。
HVH_031_0007_0057	於以慶期頤。
HVH_031_0007_0058	膺爵秩。
