HVH_031_0008_0001	蔭子、孫而長享福澤於無窮也我其負汝哉。
HVH_031_0008_0002	大清雍正二年二月初三日鸞書文帝真偈曰。
HVH_031_0008_0003	不出門救萬命。
HVH_031_0008_0004	不費財。
HVH_031_0008_0005	行萬功。
HVH_031_0008_0006	不假法度萬人。
HVH_031_0008_0007	蟲蟻隨在愛恤、殺物永相戒食、教成子孫救濟、造就門弟子立產是謂不出門救萬命。
HVH_031_0008_0008	孝友方便立地可做忍性存心功德無量是謂不費財行萬功。
HVH_031_0008_0009	我自至愚至賤人自極聖極神贊揚善人勸行善事刊刻善書興起善念、即樵夫牧豎亦自能之、是謂不假法度萬人。
HVH_031_0008_0010	文帝功過格內外二竅寶訓功過格校編 六 文帝偈訓功過有內外二竅。
HVH_031_0008_0011	外竅者修橋整路是也。
HVH_031_0008_0012	內竅者仁義禮智是也。
HVH_031_0008_0013	世人若修外而不修內。
HVH_031_0008_0014	其福薄而輕。
HVH_031_0008_0015	若內外兼修。
HVH_031_0008_0016	其報重而福厚矣。
HVH_031_0008_0017	且修橋整路其事易明。
HVH_031_0008_0018	仁義禮智工夫。
HVH_031_0008_0019	人多不曉。
HVH_031_0008_0020	今且從孝弟之淺處指出而言之。
HVH_031_0008_0021	人當孩提時。
HVH_031_0008_0022	其心本無他物。
HVH_031_0008_0023	惟知愛父敬兄而已。
HVH_031_0008_0024	舍此之外。
HVH_031_0008_0025	並無別想也。
HVH_031_0008_0026	又並無別事也。
HVH_031_0008_0027	不謂長至成人。
HVH_031_0008_0028	遂至違父背兄者有之。
HVH_031_0008_0029	嗚呼。
HVH_031_0008_0030	此豈非後來之習染哉。
HVH_031_0008_0031	諸生既遵行功過。
HVH_031_0008_0032	惟克去後來之私。
HVH_031_0008_0033	務要復還赤子先有一箇點點乾淨之心。
HVH_031_0008_0034	時時省察。
HVH_031_0008_0035	時時涵養。
HVH_031_0008_0036	由是則依然一箇赤子矣。
HVH_031_0008_0037	其孝弟依然根心而出矣。
HVH_031_0008_0038	而仁義禮智。
HVH_031_0008_0039	亦可於
