HVH_031_0018_0001	夢中所授之格一字不差因寶而行之予後究未有厄是以
HVH_031_0018_0002	刊刻印佈以公諸同志
HVH_031_0018_0003	周濂溪先生見功過格語程氏兩夫子曰正初學入德之門
HVH_031_0018_0004	朱夫子曰四書為理此格為條初學不可一日不置案頭
HVH_031_0018_0005	邵康節先生曰此格可以扶經翼傳
HVH_031_0018_0006	林少穆曰此格能保身家性命要訣善全位祿名壽真經
HVH_031_0018_0007	明陶石簣曰或問為善去惡在心耳矣必功過格日子讀書
HVH_031_0018_0008	耳矣必課程賞罰耳矣必律令出納耳矣必會計哉不知會
HVH_031_0018_0009	功過格校編
HVH_031_0018_0010	說引
HVH_031_0018_0011	十六
HVH_031_0018_0012	計當則盈縮可稽律令明則趨避不惑課程立則作止有度
HVH_031_0018_0013	否則勤惰任心高下任手有餘不足無從參考徒曰我為善
HVH_031_0018_0014	我去惡曾為幾善去幾惡耶曰其如明功隱過何日子勿慮
HVH_031_0018_0015	也世有明功隱過於人未有明功隱過於神者也我曰為之
HVH_031_0018_0016	夜書而藏之焚香染翰四顧森然鬼神滿目以心蒞手一點
HVH_031_0018_0017	一畫罔敢不誠而明功隱過乎哉曰我今日書而功微明日
HVH_031_0018_0018	書而過鉅不將怖而止乎曰勿怖也何以知功微而過鉅書
HVH_031_0018_0019	之而後功與過出焉微積而鉅釋而微道不遠矣久久不
