HVH_031_0019_0001	輟自有得也曰我功鉅而過微天道果有知耶曰子但飯毋
HVH_031_0019_0002	憂不飽也孔子曰故大德必得其位必得其祿必得其名必
HVH_031_0019_0003	得其壽子所求在數者外則吾不敢知止此耳則坐而俟之
HVH_031_0019_0004	行功過格以孝弟為先以存心為要不外乎彝倫日用之
HVH_031_0019_0005	常不離乎致知誠意之本聖賢正大學問不得目之為異途
HVH_031_0019_0006	也行功過格內可養心外可治人粗之可以應事物精之
HVH_031_0019_0007	可以至聖賢以二氏言之可以成仙作佛即庸人體之亦能
HVH_031_0019_0008	滅罪消愆功過格不論老少男女富貴貧賤皆可行之各
HVH_031_0019_0009	功過格校編 說引 十七
HVH_031_0019_0010	有成效不得以貧老自棄不得謂少壯有待不得以婦女自
HVH_031_0019_0011	忽行功過格易於得名然行者不可有邀名之心亦易獲
HVH_031_0019_0012	利然行者不可有買利之念鄒子曰一生行善不得善報識
HVH_031_0019_0013	者以為不出名利簿下君子戒之有功於人而受其報則
HVH_031_0019_0014	功已減有功於人而向人言則功已淺行功過格者有此二
HVH_031_0019_0015	事恐善量難滿功過格度人如神仙度世必待其誠然後
HVH_031_0019_0016	度之如行功過格而不誠者雖度之亦無益行功過格而
HVH_031_0019_0017	躬不免於多慮必其未嘗實體之也君子所貴乎實心體之
