HVH_031_0022_0001	聞斯達先生曰天下容有偶然之事君子惟信必然之理福
HVH_031_0022_0002	不自我召而或降之福福兮未必非禍所倚禍不自我作而
HVH_031_0022_0003	或降之禍禍兮未必非福所伏故非分之福聖賢深以爲懼
HVH_031_0022_0004	而猝至之禍君子借以自警書曰惠迪吉從逆凶易曰積善
HVH_031_0022_0005	之家必有餘慶積不善之家必有餘殃故未有善而不得善
HVH_031_0022_0006	報者也其爲善而不得善報者必其人之別有惡處也不然
HVH_031_0022_0007	則其祖父之流毒也不然則善報之來不於其身必於其子
HVH_031_0022_0008	孫也抑未有爲惡而不得惡報者也其爲惡而不得惡報者
HVH_031_0022_0009	功過格校編
HVH_031_0022_0010	說引
HVH_031_0022_0011	二十
HVH_031_0022_0012	必其人之別有善處也不然則其祖父之餘慶也不然則惡
HVH_031_0022_0013	報之來不於其身必於其子孫也皆所謂必然之理也
HVH_031_0022_0014	或有問於前賢曰福善禍淫信有諸乎曰然曰然則相左何
HVH_031_0022_0015	也曰子所謂相左非左也還是善惡未定也易曰善不積不
HVH_031_0022_0016	足以成名惡不積不足以滅身積者已定之辭也忽而善忽
HVH_031_0022_0017	而惡則是善惡尚未定也禍福又安從應如子所謂特不定
HVH_031_0022_0018	也何云相左也
HVH_031_0022_0019	過無隱顯知之卽改知過不改謂之自縱昔文殊菩薩問佛
