HVH_031_0025_0001	終在東滅西生、非究竟廓清之道也、善改過者、未禁其事先
HVH_031_0025_0002	明其理、如過在殺生、即思上帝好生物皆戀命、殺彼養己
HVH_031_0025_0003	豈能自安、且彼之殺也、既受屠割、復入鼎鑊、酥酥苦痛、徹入
HVH_031_0025_0004	骨髓、己之養也、珍膏羅列、食過即空、蔬食菜羹、儘可充腹、何
HVH_031_0025_0005	必戕彼之生、損己之福哉、又思氣血之屬、皆含靈知、皆我一
HVH_031_0025_0006	體、縱不能躬修至德、使之尊我親我、豈可日戕物命、使之仇
HVH_031_0025_0007	我、憾我於無窮哉、一思及此、將有對食傷心、而不能下咽者
HVH_031_0025_0008	矣、如前日好怒、必思曰、人有不及、情所宜矜、悖理相干、於我
HVH_031_0025_0009	功過格校編
HVH_031_0025_0010	說引
HVH_031_0025_0011	二十三
HVH_031_0025_0012	何與、本無可怒者、又思天下無自是之豪傑、亦無尤人之學
HVH_031_0025_0013	問、行有不得、皆己之德未修、感未至也、吾悉以自反、則謗毀
HVH_031_0025_0014	之來、乃磨煉玉成之地、我將歡然受賜、何怒之有、又聞謗而
HVH_031_0025_0015	不怒、雖讒焰熏天、如舉火焚空、終自息、聞謗而怒、雖巧心
HVH_031_0025_0016	力辯、如春蠶作繭、自取纒綿、怒不惟無益、且有害也、其餘酥
HVH_031_0025_0017	酥過惡、皆當據理思之、此理既明、過將自止、何謂從心而改、
HVH_031_0025_0018	過有千端、惟心所造、吾心不動、過安從生、學者如好色、好名、
HVH_031_0025_0019	好貨、好怒、酥酥諸過、不必逐類尋求、但當一心為善、正念時
