HVH_031_0034_0001	對症發藥時有奇效，不可廢也。
HVH_031_0034_0002	失言失人，當反吾短。
HVH_031_0034_0003	何謂救人危急，患難顛沛，人所時有，偶一遇之，當如痌瘝之在身，速爲解救，或以一言伸其屈、抑，或以多方濟其顛、連。
HVH_031_0034_0004	崔子曰：惠不在大，赴人之急可也，蓋仁人之言哉。
HVH_031_0034_0005	何謂興建大利，小而一鄉之內，大而一邑之中，凡有利益，最宜興建，或開渠導水，或築堤防患，或修橋路以便行旅，或施茶飯以濟飢渴，隨緣勸導，協力興修，勿避嫌疑，勿辭勞怨。
HVH_031_0034_0006	何謂捨財作福，釋門萬行，以布施爲先，所謂布施者，只是捨之一字耳，達者內捨六功過格校編說引三十二根，外捨六塵，一切所有，無不捨者。
HVH_031_0034_0007	苟未能然，先從財上佈施，世人以衣食爲命，故財爲最重，吾從而捨之，內以破吾之慳，外以濟人之急，始而勉強，終則泰然，最可以蕩滌私情，袪除執吝。
HVH_031_0034_0008	何謂護持正法，法者萬世生靈之眼目也，不有正法，何以參贊天地，何以裁成萬物，何以脫塵離縛，何以經世出世，故凡見聖賢廟貌，經書典籍，皆當敬重而修飾之。
HVH_031_0034_0009	至於舉揚正法，上報佛恩，尤當勉勵。
HVH_031_0034_0010	何謂愛惜物命，凡人之所以爲人者，惟此惻隱之心而已。
HVH_031_0034_0011	求仁者求此，積德者積此。
HVH_031_0034_0012	周禮孟春
