HVH_031_0036_0001	過格特附閨門之訓、正以其所關係者非淺耳、故袁了凡公
HVH_031_0036_0002	夫人相助為善、所以善行易於圓滿、今女子之不識字者、男
HVH_031_0036_0003	子固當誠心訓導、女子尤當遜志聽從、虔奉功過格合門好
HVH_031_0036_0004	善、斯為莫大之吉祥矣、 以上信心錄
HVH_031_0036_0005	鑑湖居士曰、世有村夫閨婦、信真志篤者、念其不知書、急與
HVH_031_0036_0006	之講明條例、教以紅黑鵞毛管、印於曆書各日之下、或用黑
HVH_031_0036_0007	白豆、投於瓶中、亦吾儒廣善之法、
HVH_031_0036_0008	李燦軒曰、行功過者、不可因一時作事顛倒、謂此書不靈驗
HVH_031_0036_0009	功過格校編
HVH_031_0036_0010	說引
HVH_031_0036_0011	三十四
HVH_031_0036_0012	而遂止、有行之既久、然後一連報者、況習俗漸染已久、未易
HVH_031_0036_0013	遽蓋前愆、昔袁了凡先生、十人聯社、有行之三四年而上進
HVH_031_0036_0014	者、有行六七年而後上進者、可知遵此格、其報應斷不爽、特
HVH_031_0036_0015	恐善念未真、遲速自不同矣、
HVH_031_0036_0016	受持格式
HVH_031_0036_0017	願覺子曰、人無格式、繩其心思耳、日用行為、物交物則引
HVH_031_0036_0018	之矣、惟有格式、格不正以歸於正、物欲不能蔽、良知常惺惺、
HVH_031_0036_0019	何難造到有不善、未嘗不知、知之未嘗復行之詰乎、大學格
