HVH_031_0042_0001	〇夫婦同心作家、克勤克儉、以承先裕後者、一日爲一功。
HVH_031_0042_0002	此凡言一日者、必此一日、實有此功、否則不論。
HVH_031_0042_0003	莊敬和煦、誠感法馭、方有此效、故曰準一功。
HVH_031_0042_0004	善御婢妾、不容抗違正室者、一日爲一功。
HVH_031_0042_0005	此此就婢妾有才難御、而正室柔弱者言、閨範嚴肅、一日爲一功。
HVH_031_0042_0006	有條方準一功、失懷莊敬、整飭義方敎訓子孫、一言爲一功。
HVH_031_0042_0007	反開導、務令遵爲、從方準一功、人延續一嗣爲百功、勸人兄弟承繼爲嗣爲二十功。
HVH_031_0042_0008	〇善擇師爲百功、擇交爲五十功。
HVH_031_0042_0009	此非泛擇師友之識、得終身可依歸者、推崇之、一洗扶長扶、貴之意、實受輔仁解惑之益、方準此數、敬奉師友一日爲一功。
HVH_031_0042_0010	之實、方準論功。
HVH_031_0042_0011	守師友誨、一日爲一功。
HVH_031_0042_0012	必有克治之力、方能於素所未太微仙君格 功過格校編 四十能者、確守其訓而不失、故準一功。
HVH_031_0042_0013	而爲師盡心訓迪、爲友竭誠規勉、一言爲一功獎勵之言在、故準一功。
HVH_031_0042_0014	竭盡心竭誠、有許多誘掖、然諾不欺、一事爲一功。
HVH_031_0042_0015	寬待婢僕、體恤艱苦、厚資衣食、一日爲一功、可怒不怒、善啟誨之一事爲二功、同室婢僕、能一體撫恤者倍論、善遣妾婢、慎爲擇配、一人爲十功、盡力資助衣財者倍論、義男女、婚配以時、一人爲十功、白還義男女、不取其原值、每百錢爲一功、出錢贖還人子女者倍論。
HVH_031_0042_0016	〇爲人婢僕、一心事主、一毫不欺、不肆、一日爲一功、爲主用財、公平出入、不侵漁、不尅減、
