HVH_031_0054_0001	命者减半、傷胎破卵、填穴覆巢者同論、居上教民漁獵一
HVH_031_0054_0002	事爲五十過、牛馬犬老病死、而賣其肉者、百錢爲一過、
HVH_031_0054_0003	籠繫禽獸爲一過、畜養牲魚等物、取利致殺者、百錢爲一過、
HVH_031_0054_0004	貪吝第四
HVH_031_0054_0005	取不義之財、所值百錢爲一過、旣富而取者爲二過、若威逼
HVH_031_0054_0006	詐取者加十倍、瞞官偷稅、百錢爲一過、逼取貧民債負、
HVH_031_0054_0007	使受鞭朴者爲十過、罪名爲二十過、流離失所爲百過、代人
HVH_031_0054_0008	逼債者倍論、誘人嫖賭非爲、從中取利者爲五十過、借
HVH_031_0054_0009	功過格校編
HVH_031_0054_0010	太微仙君格
HVH_031_0054_0011	五十三
HVH_031_0054_0012	人財物不還、百錢爲一過、反加怨怒不還者倍論、倚勢佔
HVH_031_0054_0013	人田房、所值百錢爲二過、賤價強買者、便宜百錢爲一過、
HVH_031_0054_0014	受賄而擢人官、出人罪、百錢爲一過、若壞人官、入人罪者倍
HVH_031_0054_0015	論、枉害良善、加十倍論、夤緣名利、惟求必得、不顧非義者、
HVH_031_0054_0016	一事爲十過、大事加論、求己必得、致他人失財者十過、失
HVH_031_0054_0017	位者爲五十過、斗秤戥尺、出入兩樣、一用爲一過、如踰百
HVH_031_0054_0018	錢者爲一過、荒年囤米不發、坐索高價者爲五十過、受
HVH_031_0054_0019	爐火丹術爲三十過、行使丹銀、值百錢爲二過、使假銀
