HVH_031_0069_0001	惘心一功、見人得意生歡喜心三功、見人才高生欽服
HVH_031_0069_0002	心一功、見人饑寒生憐憫心一功（若能周濟奠錢記功）、見人勤勞生
HVH_031_0069_0003	體恤心五功、見人謬誤無非笑心一功（若能慎誠指教十功）、見人珍
HVH_031_0069_0004	異無倖得心一功、見人富貴無艷慕心十功、不因勢利
HVH_031_0069_0005	而生趨附心三十功、不因衰落而生厭薄心五十功、不
HVH_031_0069_0006	因貧乏而生苟且心一日一功、不因急迫而生險詐心三
HVH_031_0069_0007	十功、見老成而生敬三功、見道德而知尊五功、見人
HVH_031_0069_0008	愚頑無禮而不怒三功、見人飲噉過節而不憎一功、
HVH_031_0069_0009	功過格校編
HVH_031_0069_0010	呂祖師格
HVH_031_0069_0011	六十七
HVH_031_0069_0012	聞人言語無稽而不厭一功、見人有功恒思所報五功、
HVH_031_0069_0013	見人有過恒恐其難十功、聞人有善而不疑一功、聞人
HVH_031_0069_0014	有惡而未信五功、受橫不嗔十功至五十功、受謗不辯
HVH_031_0069_0015	十功至五十功、引過歸己十功至百功、推善與人十功
HVH_031_0069_0016	至百功、時時警惕如對大賓一日十功、行則關疑五功、
HVH_031_0069_0017	居能省過五功、受一逆耳言五功至五十功、人若過
HVH_031_0069_0018	譽愈知警省五功、人若趨承愈加謙抑五功、世態炎凉
HVH_031_0069_0019	不以介意一功、一日間無疾言遽色一功、待僕婢可怒
