HVH_031_0072_0001	葉德業家業二百功、為孤兒娶婦二百功、為人立嗣繼
HVH_031_0072_0002	絕百功、陰厚親心所厚之人百功、救免一徒罪百功、
HVH_031_0072_0003	表揚一人節義百功、倡修橋梁險道百功、濟一人流離
HVH_031_0072_0004	得還鄉土百功、平價減糶百錢為一功、倡首行一善事、
HVH_031_0072_0005	如造凉亭渡船施粥、施茶給字紙放生等十功至百功、見人凌虐孤寡竭力保
HVH_031_0072_0006	護五十功、葬一無主骸骨五十功、免一貧人債十功至
HVH_031_0072_0007	五十功、成人一美事十功至五十功、及笄嫁婢五十功、
HVH_031_0072_0008	救免一人刑杖三十功、撫養一病人至愈三十功、表
HVH_031_0072_0009	功過格校編
HVH_031_0072_0010	呂祖師格
HVH_031_0072_0011	七十
HVH_031_0072_0012	揚一人陰德十功至三十功、施一墓地二十功、以方術
HVH_031_0072_0013	活一重病二十功、施棺一具二十功、不負人託成一有
HVH_031_0072_0014	益事十功、善遣一僕如彼有偷盜過、懲不明斥者是掘井十功、
HVH_031_0072_0015	護持一善人十功、施茶施薑湯一日十功、施粥一人一
HVH_031_0072_0016	功、從厚殯葬僕婢十功、報一人恩五功至五十功、釋
HVH_031_0072_0017	一人怨五功至五十功、救一人急五功至五十功、不乘
HVH_031_0072_0018	危急賤買人物五功至五十功、待僕婢可責不責又善諭
HVH_031_0072_0019	之五功至五十功、救一有力於人之物命牛馬大類五功至五
