HVH_031_0073_0001	十功 親近明師良友一日三功、布施孤老殘疾一人三
HVH_031_0073_0002	功、救一無力於人之畜命豬羊之類三功、濟一人饑一功、
HVH_031_0073_0003	解一人渴一功、救一禽魚蟲蟻物命一功、衣服器皿借
HVH_031_0073_0004	人應急一功、代勞一事一功、施藥一服一功、齋戒志
HVH_031_0073_0005	誠一日一功、甘淡惜福一日一功、施天燈一夕一功、
HVH_031_0073_0006	施雨具一人一功、惜五穀一次一飯落於穢者十粒一功若水淨食之一粒
HVH_031_0073_0007	功、拾字紙一片一功、齋僧道乞丐一人一功、體恤下人
HVH_031_0073_0008	艱苦一事一功、買賣從寬一日一功、見老幼殘疾疲頓
HVH_031_0073_0009	功過格校編 呂祖師格 七十一
HVH_031_0073_0010	人扶接過險一功、修街道一丈一功、砌街道一尺一功、
HVH_031_0073_0011	借人物件珍惜如期而還一功、為人保全一物件一功貴重者功倍加、
HVH_031_0073_0012	錄勸善格言果報一條一功、途中除瓦礫剪荊棘
HVH_031_0073_0013	一次一功、埋自死禽獸一功、僧道巫祝術士遇事誘人
HVH_031_0073_0014	為善一功誘人行孝悌者倍加、熱水撥地留心不傷蟲蟻一次一功、
HVH_031_0073_0015	✕✕過格
HVH_031_0073_0016	意惡✕✕計五十九則
HVH_031_0073_0017	慢天十過、欺君十過、輕褻祖宗先靈十過、心疑父母
