HVH_031_0080_0001	取人物恃强撞破五過、借人器物不還五過、諂富驕貧
HVH_031_0080_0002	五過、見人不為禮五過、面是背非五過、瞞眾受利五
HVH_031_0080_0003	過 (加多者) 博名邀譽五過、雖非邪淫而夫妻縱慾五過、飲
HVH_031_0080_0004	酒至醉一過、與不良人同伴一次一過、男女混雜無別
HVH_031_0080_0005	三過、索債過急三過至三百過 (致人賣妻女者加重)、享用過豐一日一過 (賈物者加倍)
HVH_031_0080_0006	一命三過、虛閒廢學一日三過、
HVH_031_0080_0007	(加論) 爲人教子弟不盡心一日一事三過至三十過、以不凈
HVH_031_0080_0008	手翻書三過、以書籍字扇置枕席間三過、臥看經書一
HVH_031_0080_0009	功過格校編
HVH_031_0080_0010	呂祖師格
HVH_031_0080_0011	七十八
HVH_031_0080_0012	過、用假銀一分三過、佔一小便宜一過、拘繫禽獸一
HVH_031_0080_0013	日一過 (致死一命者加論)、專信神佛不孝敬父兄伯叔一日三十過
HVH_031_0080_0014	爲人作事不盡心十過 (事大者加)、借用他人器物不愛惜十過
HVH_031_0080_0015	(因而毀壞者加)、沉擱人家信五過 (誤人者加)、便溺洗澡不避三光三過
HVH_031_0080_0016	僧道巫祝術士謊騙人財百錢一過 (致人骨肉分) 竊聽人私
HVH_031_0080_0017	語三過 (因而告人者加)
HVH_031_0080_0018	凡諸過惡而能改行遷善者其功十倍、
