HVH_031_0089_0001	石音之夫也、若嫌他乞人、不將女許配、其如神人托夢何、乃
HVH_031_0089_0002	曰、你這樣英才、朝夕乞化、非是久計、爲人在世、與家立業、方
HVH_031_0089_0003	纔算个漢子、我有一女、招你爲婿、成個家業、如何、石音夫大驚
HVH_031_0089_0004	曰、大人何出此言、小人一身難養、怎麼說出這樣折福的話、
HVH_031_0089_0005	心德曰、吾以女招你、想必前生修積、應當配合、何得折福、因
HVH_031_0089_0006	將神夢之言、一一明告、方纔從婚、音夫亦不以爲得意、於是
HVH_031_0089_0007	與石音小姐專語功德、時行好事、久之、每見岳父小斗放出、
HVH_031_0089_0008	大斗收回、音夫苦勸、心德不從、又見小戥放出、大戥收回、又
HVH_031_0089_0009	功過格校編 石音夫格 八十七
HVH_031_0089_0010	苦勸、諫亦仍不從、及勸至多回、心德大怒、罵道、極辭、即日將
HVH_031_0089_0011	他夫婦去住小庄、石音來住數日、想我岳父大富、原從這兩
HVH_031_0089_0012	斗兩戥起家、但我受他恩重、豈忍等他墮落、而不關心、如何
HVH_031_0089_0013	要把他勸轉、次日、夫妻商量、再回同省岳父母、乘機漫漫苦
HVH_031_0089_0014	勸、不意心德惡孽已盈、是日 上帝命火神燒毀他家、命雷
HVH_031_0089_0015	神將心德震死、以彰大斗小秤之報、因見音夫在此、不好驚
HVH_031_0089_0016	嚇大德之人、音夫又一心要勸轉岳父、住了三日、天神難以
HVH_031_0089_0017	繳旨、只得喚當方土地、化作老翁、明說其事、音夫聽說、夫婦
