HVH_031_0119_0001	三日、爲文告　文昌神、願遵功過格、行善事三千條、以祈天承命。
HVH_031_0119_0002	自此後、朝乾夕惕、無日不以戒欺求慊爲念。
HVH_031_0119_0003	至三十歲、不惟不死、且不病。
HVH_031_0119_0004	次年即以案首入學。
HVH_031_0119_0005	余因是信之益堅、復爲文上　文昌神、表行善事、以求上進。
HVH_031_0119_0006	果行之三年、而中舉。
HVH_031_0119_0007	行之五年、癸未元旦、夢　文昌神授微墨一條、是年登第。
HVH_031_0119_0008	又許行善事萬條、以求宦途顯達。
HVH_031_0119_0009	乙酉年、蒙授浙江紹興府知府。
HVH_031_0119_0010	丁亥、陞雲南糧道。
HVH_031_0119_0011	己丑、陞山西按察。
HVH_031_0119_0012	辛卯、陞貴州布政。
HVH_031_0119_0013	而申陞山東巡撫。
HVH_031_0119_0014	此時萬條善事既完、余年幾耄、遂有志明功過格枚編奉行微驗百十七農、合飴弄孫矣。
HVH_031_0119_0015	然遵行功過格、正不敢自怠也。
HVH_031_0119_0016	意使余不遵行此格、三十歲既死、安能轉禍爲福哉。
HVH_031_0119_0017	造命之說、不我欺也。
HVH_031_0119_0018	不敢自私、直書其事、以告同志。
HVH_031_0119_0019	蘇庭光先生持身錄余少讀書、十七出試、四十功名未就。
HVH_031_0119_0020	乾隆壬辰、目痛昏翳。
HVH_031_0119_0021	嘗至甲午、家資殆盡、老母年邁、妻又病黃、憂恐無措。
HVH_031_0119_0022	是歲二月、適有友人張鴻到、係戊子舉人也。
HVH_031_0119_0023	送以陰騭文、并功過格一卷、曰：此潘師子璜所送、凡有遵行、默念者、靈驗如响。
HVH_031_0119_0024	余閔陰
