HVH_031_0130_0001	成泰十二年庚子十二月十六日立春亥牌奉
HVH_031_0130_0002	山神降
HVH_031_0130_0003	詩 春風到玉嶺 指點花枝寒 報道諸生者 紅爐幾轉丹 報
HVH_031_0130_0004	文昌帝君降
HVH_031_0130_0005	詩 玉樓無事到人間 底意蒼茫劍水寒 過籍未除三斗黍 功
HVH_031_0130_0006	編猶望九時丹 花開桂子憑心地 樹穌菩提信肺肝 數語斟
HVH_031_0130_0007	春 知我否 三天天上寂塵樊
HVH_031_0130_0008	訓我頃接 呂公說及諸生功過籍 雖未勇改 亦稍知悔 宜
HVH_031_0130_0009	功過格校編 新訂卜籤法 百二十八
HVH_031_0130_0010	各勉力前程勿負 呂公度人片念 方可為人 我且賜詩一
HVH_031_0130_0011	則為勸 回駕 另候 呂公訓示
HVH_031_0130_0012	呂祖師降
HVH_031_0130_0013	詩 春風開口笑 開口笑春風 知我不知我 只在少山中
HVH_031_0130_0014	訓 (陳生 仲杭) 事我天君 勿雜塵紛 戀念窒慾 可出迷津 勉之
HVH_031_0130_0015	訓 (黎生 德順) 心宜有主 勿生新故 擇善而從 勿流卑汚 遵之
HVH_031_0130_0016	訓 (武生 晉珮) 遵道而行 庶乎有成 須去偏病 一悔一貞 戒之
HVH_031_0130_0017	訓 (陳生 伯璦) 有心無心 慎八于林 十年乃字 二人斷金 慎之
