HVH_032_0004_0001	泰西教九等至十二等幼學書内載教童燐火事且摘錄如左
HVH_032_0004_0002	有其鄉教師底日暮聞户外扣門声甚急师大起声答问其人云某也师
HVH_032_0004_0003	问客何人者其曰某启甲请先生同扃许甲涂容身焉师细语其声如是
HVH_032_0004_0004	童素從已首学者乃开门放入見其面惴々然青如蓝其目惶々然侧而視师
HVH_032_0004_0005	问尔何至此我何援逐乎童以被逐答师又问日何逐童恍惚曰魔々师闻竟
HVH_032_0004_0006	主曰果尔何惧之有不逼尔独行底沿近尔視居處有墓地者而恐乎
HVH_032_0004_0007	童答云是也然甲之惧非徒雇乃宛然直見魔形如甲見先生此底也师
HVH_032_0004_0008	云乎見魔如見我乃是一知覚人念如我乎童云非男亦非女师云然则谁也
HVH_032_0004_0009	童云是人之魂也师云人魂人所不知尔何由知之乎夫无物奈何身中知其所親
HVH_032_0004_0010	愛知其所憎恶而目不能窺智不能办方是魂也童云伊魂如燐火往墓地
HVH_032_0004_0011	出沿至亡人澜甲惧而立则伊亦立甲惧而走则伊亦走甲立而回顾则伊又依
HVH_032_0004_0012	然自至甲不觉惶駭逸走向先生求救瘵不幸回他人家援手又至被這魔
HVH_032_0004_0013	害也师曰死者之魂若果有何術法能近渴若別何意而为人害何益而为人寰
HVH_032_0004_0014	若尔皆見不過一箇火烽自往生出尔所不知吾當为尔同等更有何事教
HVH_032_0004_0015	乎尔姑回家明日再向吾教馆吾且为尔展明是美以替尔之所不及且以脱
HVH_032_0004_0016	尔之同学者亦且为未尚寐無论冀日师携甲至亡人澜哄衆共看之曰
