HVH_032_0016_0001	以药效我有一方最善药到病除可保毋砠那病人闻之但摇首辞谢而已心
HVH_032_0016_0002	中意为以已痛已深药除伊翁这方虽善何能愈也翁即于书案前座下
HVH_032_0016_0003	直写一纸别正装三万贯许那人由代理伸寃座官猥顾即此药也病人接
HVH_032_0016_0004	之雀跃而起
HVH_032_0016_0005	外史氏曰医者意也执古方以疗今病虽瞑眩而瘳那瘵病有不知治
HVH_032_0016_0006	而不效者有心而力不足也然须怜病者何由而然不若言之以易慼也往来
HVH_032_0016_0007	人人痛源由同问或何可胜数必标其源而治之方为高手仁人
HVH_032_0016_0008	東海静臣
HVH_032_0016_0009	昔日本国王新制磁瓶十双自以为物甚天宝百玩珤而珍重每听政之暇冕
HVH_032_0016_0010	旒伫注者久之葢物聚于所好也一旦宫娥侍侧不幸堕手一瓶破焉王以下以
HVH_032_0016_0011	死罪论群臣於朝个臣有知其事者国造蓺士奏云臣所得法粘其器者
HVH_032_0016_0012	形全而浑然不见痕迹然非目亲破瓶全部不敢措手主可其奏
HVH_032_0016_0013	云我视瓶如神君有妙法姑许引至明神敬事局展瓶阖同有军阵蔽
HVH_032_0016_0014	尘甚珍重个臣把帐曳瓶诸甁每不倒翁乃跪奏云十九瓶犹存列位
HVH_032_0016_0015	弄十九必死请以臣首代仆何如王闻之知个臣以事微谏乃云吾殿中说瓶
HVH_032_0016_0016	虽非宝非宝则宝岂如人命彼玩物老夫意不取也君勿为是言宫娥以得免
