HVH_032_0019_0001	又携别窑装扮色裹一石以参使裁截整奇又一人往参使摺叠成規又一人
HVH_032_0019_0002	详数得干使分居於落倭看守又一人用管城子记其效号又一人用薜枝卡
HVH_032_0019_0003	花葉粘之每貯入金屋內者不下五萬保係以房舍尽善也外又一大厦蔽之
HVH_032_0019_0004	倶其見尤也所用者無过一寸之材外皆煤漆塗之然居静密一塵不到強极
HVH_032_0019_0005	陆用牽水用大船转運居属世用者皆寻常視之不知我底艱苦此番
HVH_032_0019_0006	磨煉經一百二十余之功始成此好身材也子试思之吾手日成子之畢多矣何邃
HVH_032_0019_0007	忘耶韓羅山帰於是恍然有悟即前致谢南国一窺綉幃一聞美人
HVH_032_0019_0008	已飄々然白雲間
HVH_032_0019_0009	外史曰大厦非一木之支全裘非一腋之暖天下之事必多力而后可成
HVH_032_0019_0010	針之為物微矣徒必以此艱苦知以天工而不知費幾日几月矣也
HVH_032_0019_0011	針之為用可勝計哉衣服所以衛身体防暑
HVH_032_0019_0012	而弗服何以禦冬之嚴乎有針之前羔羊之皮雖美蔽体而已或用
HVH_032_0019_0013	骨角或用竹木聊以安合緊密不知視針之贵當何如乎且此衣孔
HVH_032_0019_0014	多固诸兄弟犹未出世日中之市有無相易直教令人意不知物何足
HVH_032_0019_0015	以當之風氣開机心起而俗事日多愛錦綺绫羅無不用至侈麗極
HVH_032_0019_0016	每針以合之雅美外彩以使人盛裝扮裹以眩鄰里於人每見噫乎
