HVH_032_0020_0001	者瓠作曰古古不知古人功名如針煩者幾淺鮮哉
HVH_032_0020_0002	石人傳
HVH_032_0020_0003	石人者因產也忘其名以自業於石故以石名之家無儋儲日與其徒操斧入山
HVH_032_0020_0004	寬食於石鑿之雕而琢之既日亢而所得利益無幾食怕不給衣百結而
HVH_032_0020_0005	無一完每工罷独臥感念身世瓢或二絲然天公意不公當其息中枕石而假
HVH_032_0020_0006	寐心浩曰快哉富也粟米如山珠玉成堆出有車馬居有樓臺錦衣而戴冠
HVH_032_0020_0007	蒲被而錦褥汗不及侍縻不及廷人生世間莫富若也顧吾安所得此哉天
HVH_032_0020_0008	乎願以我為富翁家語未竟天神自空中来叩石而告之曰大帝聞君之言深
HVH_032_0020_0009	為不平特許如願而祕之何可毎固于石也但恐異日求復為石工而不可得耳石
HVH_032_0020_0010	聞之驚喜不定初未之信既而覘其家則列貨宝山積衣粒米紅糒矣顧其身
HVH_032_0020_0011	則長衣而廣袖幼婦紈綃也且臥履列衣而脘温而美饔无褥也石乃自喜曰
HVH_032_0020_0012	石幸滿足畜馬尋買婢仆庋置田舎大同園亭選歌敎舞女皷吹絲竹
HVH_032_0020_0013	以備觴有呼於途者曰乗輿且至石伏道左睨之見六竜扶轂騶馬馳道灑
HVH_032_0020_0014	旗旄旖旎尉候相接期門佽飛之士前驅奔走而警辟中有王者冕衣而
HVH_032_0020_0015	袞袞自得已極指氣使左右唯諾石心艶之曰吾乃今知為皇帝之貴也
HVH_032_0020_0016	若徒擁空名而紆韨庸詎乃為大丈夫羞且帝王亦非我有者也天公其何得耳
