HVH_032_0038_0001	地寒皆攜帶之以禦風霜而消煩懣諺云富耶餳粥備補勞力貧
HVH_032_0038_0002	耶煙代食嘗無穀藥之味不能一日無也此草植於乾燥酸澀之地
HVH_032_0038_0003	為宜瀕海諸縣以太平之青圃瑞英海陽之永保光阿產更佳品他處效
HVH_032_0038_0004	而植之味淡氣葷不膽在口此非土宜也抑或歐洲前古未有烟草百四年前卜
HVH_032_0038_0005	須稽國人往新世界携此草而傳其栽植吸食之法亟以遍及諸國植
HVH_032_0038_0006	此為務自官仕庶無人不吸之者田家終日出作入息晨吸一枚賴以忘
HVH_032_0038_0007	勞萬里海程羈旅累月一吸此烟離情若豁招邀代酒頃刻當茶嗜之者
HVH_032_0038_0008	衆吾固知其悦口焉東方之日本國前亦有卜須稽人至自閩中與携
HVH_032_0038_0009	此草来与國中人皆植而吸之至於煙之見於歐洲以視之中國自明征滇將
HVH_032_0038_0010	此為避瘴藥者正當其辰也瀛寰運會以迄日用一草亦有以為世用
HVH_032_0038_0011	若有數存焉非無因也何昔之所未有而今之所最多昔之所不知而今之所最切耶
HVH_032_0038_0012	四百年來烟大盛行于寰中遍地皆種之繄誰之先導矣且夫人口之於味也有同
HVH_032_0038_0013	嗜焉五味甘為上苦為下蔗糖甘矣而人不可常食烟草味苦而人無不好
HVH_032_0038_0014	之寧非甘者腴而易厭苦者真而乃長耐人咀嚼有味外味耶椒檳之味
HVH_032_0038_0015	美於回人三與煙草得無頗甚况乎呼吸之間動盪氣血饑可使飽飽可使消
HVH_032_0038_0016	驅寒辟瘴之功更出於中品藥上固可以與曾子之嗜羊棗昌黎之嗜蝨皆奇癖也有例矣
