HVH_032_0042_0001	但知秉公辧理不能爲苛刻之事亦不爲黯昧之態回首平生踐履全是一片
HVH_032_0042_0002	忠誠所積青天白日共呈此心雖臨之以雷霆亦無所驚懼矣且其受省而出
HVH_032_0042_0003	事成而返其公故亡隙也且固某之不幸而似此喪心喑理之行眞所謂鬼蜮其
HVH_032_0042_0004	面目而刀劍其心腹者矣當爲明公恥之侯聞之大怒某又云公之察我我固
HVH_032_0042_0005	不敢待也家有少女穉幼男一自去投此以來聲息不相聞願少須臾相見以
HVH_032_0042_0006	誓別悵且噓叙事此外唯公祈命侯厲聲曰夜臺將入尚作刺刺頑婢子
HVH_032_0042_0007	耶與而奴乎共諸凶其面不可得而見并其聲不可得而聞矣不寧惟是爾自
HVH_032_0042_0008	謂天日其震雷霆不驚與爾奴天日亦不汝容雷霆亦不汝擊矣我誠有
HVH_032_0042_0009	醜面目亦不願與爾等相見也侯有固室穴地爲之絕深且奥以長絏乃指示
HVH_032_0042_0010	某曰此汝福堂也言訖拂衣而起群小隨之解某桎梏侯手持巨燭從地中
HVH_032_0042_0011	隧道梯而下至于地下沈深群小曰已至矣侯云去也城崩地震之聲此間猶可聞
HVH_032_0042_0012	耳又沿下至二層氣息不通燭爲風將滅群小愕然相謂曰異哉此人我輩何不
HVH_032_0042_0013	如燭影乎既沿深梯止侯命開地下扃鐍解某安置焉燭灺臨風微颺室處
HVH_032_0042_0014	慄然謂某曰奇哉其以此爲墓地也侯乃沿梯而上意甚得意某少女青
HVH_032_0042_0015	春而赤心者也痛其父陷於非辜而身縶姻叔不能申理乃携弟向公告苦
HVH_032_0042_0016	庭侯坐堂上錦綉羅列侍從甚都意氣軒昂威風凜凜少女斂衽再拜前
