HVH_032_0044_0001	及諸園池悉以灰兌買銅鑄一巨鐘鐘成憂而卒之聞者莫不悚動侯大令同
HVH_032_0044_0002	監司聞否曰否吾女心益自刻厲乃仰天祝云嗟々蒼天寂然無音嗟々洪鐘扣之
HVH_032_0044_0003	喑々或以石或以木以達我咱而解其憂問心於是再以積年資斧改鑄一最巨
HVH_032_0044_0004	鐘并造樓廣以懸之女親自摶擊鯨吼一聲山谷皆響顧視樓閣屋宇
HVH_032_0044_0005	皆搖々若將墜下者餘音鬱勃遠近震動監司聞之恍惚醒灑然覺方
HVH_032_0044_0006	驚乎何適派人來問遂呼而告之曰此何聲也天墜耶地坼耶山岳有陷裂耶
HVH_032_0044_0007	此聲何為至於我也其人云此非惡聲也此從君生也君為驚也君之冤此聲為之
HVH_032_0044_0008	鳴也乃具以告并同于使使愕然葉已落誓無可食言乃開隔室擇日
HVH_032_0044_0009	舁而上之其及出地下身如木膚形若死灰既而上昇心目豁然見其子若女幽
HVH_032_0044_0010	吾久其爲之讌隧室之中其樂也融融亟雜之供唯音與子之心通其女感隧室之
HVH_032_0044_0011	外其樂也洩々亟鐘之大惟我父之神會一展融々俾々其樂不啻此君子作
HVH_032_0044_0012	其女沈春也因名其鐘曰春女鐘云
HVH_032_0044_0013	定辰鐘賦
HVH_032_0044_0014	綠海客冩草
HVH_032_0044_0015	今日人但知其中有是也今日人但知有舒盈也星辰人知其有隱見也風雨
HVH_032_0044_0016	人知其有陰晴也歲序之流替人知其有寒々暑也光陰之推遷人知其有晦
HVH_032_0044_0017	明也若夫頃刻之間瞬息之𩾏隙駟驔馳流波電逝而欲稽具早晚之節
