HVH_032_0047_0001	子故以彼城耶名之或曰橘鳥蓋俗号也其製有如桃寔有如十字又有其花樣一
HVH_032_0047_0002	般而介于掌上安置皆大法人眉麻叶所製也又有于約指上去金鋼面以表代
HVH_032_0047_0003	三而朔之自轉以指按之而分忽可以又有形如九園声如黃鳴意底効響歌曲
HVH_032_0047_0004	自成且夫神寓於噐智運於機機有処而智無敵噐屢易而神不疲詹規
HVH_032_0047_0005	昔人所作柱之夏奇越惟大法國車盧崩皇帝之世有鐘焉調為三身走為
HVH_032_0047_0006	三噐口中有神將十二以按羽而報候方辰運之未至儀将單之意告更漏之
HVH_032_0047_0007	若急鳴馬而敵行手彈九之一擲聞撞声之趨又本修纪之曰此阿葉国王
HVH_032_0047_0008	所進之物也阿受奇鐘此其一也之有掌置（一千五百年）夢者若多車驢創一大琵技若詹
HVH_032_0047_0009	書目三弦以上下星之纏以南北皆瞭然其可措以覓天而不忘礼拜之有自日湧
HVH_032_0047_0010	念三有展刻皆確红其可记以示人而不惑其上刻有歌舞之儀其中列為黃
HVH_032_0047_0011	僅之音雄鷄矯翼以报刻神将出門而慇懃襟塑聖母以罹拜見天主之下臨
HVH_032_0047_0012	例有奇形異状吐舌摇眼若澹之而卒舞俱麗之以活現鐘聲一関則竒無
HVH_032_0047_0013	見哀哉第士由伊皇帝之世有鐘焉為耋轄以當中儀意顔之在上每屈后期
HVH_032_0047_0014	刻輙有天将棒冠帟以敬加拜見脆而貼仰示彼蒼之淵戴厚感儀之
HVH_032_0047_0015	可靠此乃展臣所选用以祝厘因献此乃君子谓之善强也乃若嗟铺城上
HVH_032_0047_0016	礼拜堂中维帅記之所選有天之之臣鐘二曜出及乎其内七星经緯平其
