HVH_032_0060_0001	何莫非奇諸變動不居周流六虚之迹以開物成務利用厚生遂将与鬼神
HVH_032_0060_0002	亦奪造化謂非推見至隐之功曷克臻此當其冥心孤往默討潜搜如禅
HVH_032_0060_0003	之入定使之坐忘雖謂之以抒悊為格物焉可也近于鞭辟入裏免起鶻落
HVH_032_0060_0004	有畏於晦翁之所謂穷至者乎余嘗参画格物之说不肖於吾似及見闚西
HVH_032_0060_0005	西之書而蹶起于之時抑又聞之西学所謂斐錄所費亜者至精且特兹
HVH_032_0060_0006	其凡将急就再冠西海人不倦西学堂奥必更有在書以俟之
HVH_032_0060_0007	欽差大臣太子太傅文華殿大學士直隷総督一等肅毅伯李鴻章 撰
HVH_032_0060_0008	化学
HVH_032_0060_0009	致知竭力此竹庄公诸員人之所立也互相講貫務密見聞就中听学则孔孟渊
HVH_032_0060_0010	源欧洲音学醫区传神传物格致凡切用者無不悉心研究各相仿習無
HVH_032_0060_0011	隙郢書燕説各自濯磨冀得楚材晋荘用惟博物之学所包甚广其
HVH_032_0060_0012	中分類曆次頗多而化学一門于我两人頗為創見近昌翁大人以翻譯題
HVH_032_0060_0013	會中人阮瓚據己所見斅彙成篇其訣目共草錄如下
HVH_032_0060_0014	問化学之道其事其義可得聞歟原行雜質各有恒分百象数技均資寔
HVH_032_0060_0015	用可得卒其凡攷南国人士精習乎此卑有益否
HVH_032_0060_0016	答窃聞化学之為學自泰西化学之出于世也博物辟造化生成之秘濟民生日
