HVH_032_0066_0001	而以不報其有益於人者宜憐而愛之犬馬盖唯昔所以存忠厚也固
HVH_032_0066_0002	不可以妄殺其餘無用之物無關於人亦不必報若夫鱗羽骨肉可以充鼎
HVH_032_0066_0003	俎皮角茸革可以供器用則取而用之因其死也但殺之而肆行痛苦則
HVH_032_0066_0004	非上天生物之心耳西方諸國凡物之有利於人如馬牛之類或無故而
HVH_032_0066_0005	殺之者有法律若夫食物當其烹宰之際卒用巨斧搏之使其速化
HVH_032_0066_0006	無痛楚之狀蓋人心目以全仁心而惠物類者此耳且嘗狗馬以報生爲
HVH_032_0066_0007	戒哉天竺諸國道净教断肉食者若有素其口不敢啖生物是不
HVH_032_0066_0008	敢践生草其拘迂可笑甚矣近閱盈開報辨妄自有關戒报一條
HVH_032_0066_0009	说得有理録以左
HVH_032_0066_0010	仰以戒人殺生謂人皆愛育物貪生何得報復彼形軀完我口腹人去世間
HVH_032_0066_0011	所食之物皆有定数享尽則死則當債償还各命方得再变为人查
HVH_032_0066_0012	夫佛家戒殺之说本於輪廻谓彼禽獸無非前世之人特投生耳若報
HVH_032_0066_0013	之死報將罰变鱼獸顧其妄似無庸办特世间妄信者往往牢不可破甚可叹
HVH_032_0066_0014	重言以闡之彼仰以戒人殺生曰殺牛者变牛殺猪者变猪殺鱼鼈者变
HVH_032_0066_0015	鱼鼈以是類推将谓殺人者復生為人殺盗者復生為盗殺官者復生
HVH_032_0066_0016	為官乎又曰凡人毋食肉四両後世須還半斤無論加利太甚恐原身亦
