HVH_032_0068_0001	術之家每以推測陰陽物忌辰日人莫不篤信而遵守之趨吉避凶固常
HVH_032_0068_0002	情也而自達人觀之誠有不值一噱者古之人未嘗不擇日也羲和作曆辨時貌
HVH_032_0068_0003	弍易之宜馮相司天察氛禨灾祥之興未嘗不考其日吉某日凶某日宜作某事
HVH_032_0068_0004	某日宜向某方也雖先庚先甲易卦無妄之占禘祫用祼礼閨内外之別然以
HVH_032_0068_0005	吾嘗言其大槩耳而非過為拘執也武王以戊午渡師宣王以庚午禱馬伊
HVH_032_0068_0006	尹以己丑奉嗣王召公以甲寅成社此皆大事之訏謨而及之耳非謂某日宜
HVH_032_0068_0007	出征某日宜會賓其日宜見廟其日宜上梁也農家察天氣之早晚以定
HVH_032_0068_0008	播植之期商家視物價之貴賤以收貿易之利行道者卜陰晴於天氣
HVH_032_0068_0009	以知避就之於航海者規風雨於天文以詳險易凡此皆其所當擇者也
HVH_032_0068_0010	世人不察乃日日而擇之事事而擇之以流轉不停之歲月而預定其吉凶
HVH_032_0068_0011	微茫難測之天星而妄分其向背無物理也哉吾以日月運行而寒暑往來
HVH_032_0068_0012	之大化中禍福灾祥亦自有主之而不知其所以然者非夫人之能擇也名利之
HVH_032_0068_0013	途人所趨焉人人而求之豈能人人而得之于大化之
HVH_032_0068_0014	秋挾策而筮者莫不擇日而啟程也乃有題名雁塔而名落孫山者有憎愛耶讀書之
HVH_032_0068_0015	人擁貨而居奇者莫不擇日以開肆也乃有戶集青蚨而門可羅雀者其日之
HVH_032_0068_0016	有分好惡耶人但當夙興夜寐夕惕朝乾日省其身以逢吉事之所當
