HVH_022_000001	癸酉大雨
HVH_022_000002	庚辰大
HVH_022_000003	雪物占
HVH_022_000004	坤甲
HVH_022_000005	時尚建
HVH_022_000006	员以
HVH_022_000007	上千支
HVH_022_000008	門
HVH_022_000009	得
HVH_022_000010	以上卦名門
HVH_022_000011	雨璧
HVH_022_000012	合五
HVH_022_000013	星
HVH_022_000014	珠聯
HVH_022_000015	形如盖笠
HVH_022_000016	体若
HVH_022_000017	弹丸大輪小輪
HVH_022_000018	高春
HVH_022_000019	下
HVH_022_000020	春鐘鸣霜
HVH_022_000021	降笛吹雨止琴霜承金掌雪下玉
HVH_022_000022	门金輪寶镜
HVH_022_000023	铜潭玉儀以
HVH_022_000024	上器
HVH_022_000025	具
HVH_022_000026	门
HVH_022_000027	重物
HVH_022_000028	泰鸿真常
HVH_022_000029	兵多光
HVH_022_000030	章
HVH_022_000031	下
HVH_022_000032	金兔耀彩玉兔腾精
HVH_022_000033	舒緩似
HVH_022_000034	麒麟之
HVH_022_000035	炎晦望應呷蛤精
HVH_022_000036	行類亮飞光合牛喘
HVH_022_000037	周有赤雀有白狼
HVH_022_000038	鹤鸣埋承涉波蟻封户
HVH_022_000039	叔化蠱
HVH_022_000040	麥化蛾
HVH_022_000041	将雨而滑龟
HVH_022_000042	大雨则商羊
HVH_022_000043	舞鱼麟
HVH_022_000044	覆地
HVH_022_000045	鹏翼
HVH_022_000046	垂天鹤警露
HVH_022_000047	鹊知风
HVH_022_000048	鴞鸣而風生
HVH_022_000049	鹅飞則霜陨
HVH_022_000050	駟見霜隕
HVH_022_000051	虎哺风生
HVH_022_000052	土竜致
HVH_022_000053	雨凤鸟
HVH_022_000054	乘风雨则金魚躍
HVH_022_000055	雨则木鹤飛
HVH_022_000056	冬日至在鹑尾
HVH_022_000057	夏至日在牛首
HVH_022_000058	雷發聲而動
HVH_022_000059	風吹埃而鳴
HVH_022_000060	鹏搏风
HVH_022_000061	鸠唤取
HVH_022_000062	大雨则朱深
HVH_022_000063	时雨则黑蛟感
HVH_022_000064	日八鸟鼠红见蝦
HVH_022_000065	風飛六鹤
HVH_022_000066	雲御六
HVH_022_000067	百日蟾月
HVH_022_000068	兔风
HVH_022_000069	虎雲
HVH_022_000070	竜卜飞
HVH_022_000071	龟膽垂
HVH_022_000072	象冬隊加雨
HVH_022_000073	燕飞知风以上動物
HVH_022_000074	門詩
HVH_022_000075	鼓幽蘭之
HVH_022_000076	曲萧野蔓
HVH_022_000077	草之原风
HVH_022_000078	雷禾野零雨桑田
HVH_022_000079	星辰
HVH_022_000080	晋减新童伏内子吴八郢火腰庚辰
HVH_022_000081	彭珍主璟后
HVH_022_000082	天文星辰
HVH_022_000083	龍用
HVH_022_000084	三
HVH_022_000085	池主禾稼渐臺主刻漏
HVH_022_000086	南箕地平東西
HVH_022_000087	互藏其宅弗集
HVH_022_000088	氏為路寝房為明堂
HVH_022_000089	神宫為内室
HVH_022_000090	营
HVH_022_000091	室為苑囿
HVH_022_000092	天
HVH_022_000093	主闭開天府主宫室
HVH_022_000094	虚
HVH_022_000095	梁主園林
HVH_022_000096	天
HVH_022_000097	庙主北牧
HVH_022_000098	車
HVH_022_000099	府主府車
HVH_022_000100	到
HVH_022_000101	肆主珍宝
HVH_022_000102	天
HVH_022_000103	池主酒食
HVH_022_000104	天
HVH_022_000105	尊主顾粥
HVH_022_000106	新主庭厨
HVH_022_000107	外厨主烹
HVH_022_000108	宰
HVH_022_000109	酒主宴享
HVH_022_000110	氏前主正
HVH_022_000111	妃後主象心
HVH_022_000112	前
HVH_022_000113	主太子後主庶天
HVH_022_000114	柱史主记遇尚书主言
HVH_022_000115	大
HVH_022_000116	人主壽
HVH_022_000117	考
HVH_022_000118	子
HVH_022_000119	主孝爱將
HVH_022_000120	軍帥國子火微為大
HVH_022_000121	王
HVH_022_000122	安主稼
HVH_022_000123	娶扶匡主
HVH_022_000124	上
HVH_022_000125	将次
HVH_022_000126	将上
HVH_022_000127	相次相
HVH_022_000128	石陨其
HVH_022_000129	五
HVH_022_000130	台耀其
HVH_022_000131	三
HVH_022_000132	新
HVH_022_000133	交基
HVH_022_000134	置斗算揚
HVH_022_000135	天
HVH_022_000136	手主我帛
HVH_022_000137	市
HVH_022_000138	縷主金
HVH_022_000139	銀
HVH_022_000140	天都主衣
HVH_022_000141	大
HVH_022_000142	天
HVH_022_000143	女主棉布帛天
HVH_022_000144	船
HVH_022_000145	主舟揖
HVH_022_000146	天
HVH_022_000147	庫主馆
HVH_022_000148	虎
HVH_022_000149	勃為竜角
HVH_022_000150	鱼在天河鹤
HVH_022_000151	在天圖
HVH_022_000152	用
HVH_022_000153	丁已鲁用庚子夏献歡人进社春介壽俗譜詩元辰载湯
HVH_022_000154	以乙卯
HVH_022_000155	县
HVH_022_000156	武以甲
HVH_022_000157	子幸亥朔僖
HVH_022_000158	公登臺
HVH_022_000159	已朔梓日之食也辛
HVH_022_000160	卯日吉也庚
HVH_022_000161	卡元楞油於子丑壽星見於上丁仲
HVH_022_000162	丁寅宝寅
HVH_022_000163	钱吴
HVH_022_000164	八
HVH_022_000165	别庚千大
HVH_022_000166	勝楚
HVH_022_000167	晋甲午日
HVH_022_000168	晦上千支門卦名乘震乘離乘坎乘兑寒暑載
HVH_022_000169	離天地交泰七
HVH_022_000170	日来复萬物出震以上邦
HVH_022_000171	名門方位東作
HVH_022_000172	西成南明易東风解凍南門迎春東郊迎夏南郊迎秋
HVH_022_000173	西郊
HVH_022_000174	迎冬北
HVH_022_000175	郊以上方住
HVH_022_000176	門永属火妃
HVH_022_000177	神害知五年復封
HVH_022_000178	老四仲舜
HVH_022_000179	齊七政禹
HVH_022_000180	修五祀節黄帝
HVH_022_000181	纪三綱序分其血正
HVH_022_000182	定其三
HVH_022_000183	行章三正日八三商五行迭运
HVH_022_000184	二氣周
HVH_022_000185	流以上数目門口禁門獨摩蜡饮
HVH_022_000186	海
HVH_022_000187	擊
HVH_022_000188	土
HVH_022_000189	鼓
HVH_022_000190	吹篇章従
HVH_022_000191	車休木鐸
HVH_022_000192	狗调玉燭特玉衡测圭
HVH_022_000193	景量玉尺载
HVH_022_000194	績时逢八
HVH_022_000195	月捷繽恩及三
HVH_022_000196	軍以上
HVH_022_000197	器具門動物燕联乳鼓鸣羊辣
HVH_022_000198	鱼浅鸿来
HVH_022_000199	鵙鸣蚓
HVH_022_000200	出蔡鸟祭
HVH_022_000201	獸化蛤
HVH_022_000202	化层鹤雲旦起鸟星昏起
HVH_022_000203	次極陽鳥紀穷陰光
HVH_022_000204	武伐殷岁在鸡火滅鄭
HVH_022_000205	歳在鹑大潜意氏
HVH_022_000206	始造甲子
HVH_022_000207	危羲氏
HVH_022_000208	始有五运歲在承
HVH_022_000209	常
HVH_022_000210	師不競
HVH_022_000211	民伏竜尾號公
HVH_022_000212	其奈
HVH_022_000213	象魏题書
HVH_022_000214	雞
HVH_022_000215	人器
HVH_022_000216	且出土牛以送
HVH_022_000217	寒
HVH_022_000218	氣驾竜以迎
HVH_022_000219	春陽鸠鸣鼠化
HVH_022_000220	鹊巢虎友
HVH_022_000221	雞振羽
HVH_022_000222	蚕動服
HVH_022_000223	螳螂生如
HVH_022_000224	蚓出
HVH_022_000225	月出蟲飛
HVH_022_000226	日夕羊下鼠可薰
HVH_022_000227	兒可
HVH_022_000228	酸蜡可
HVH_022_000229	飲羔
HVH_022_000230	可户
HVH_022_000231	以上動物門植物訪桐是润推占月望吉
HVH_022_000232	瞻涌秉蘭贈自
HVH_022_000233	药揚苑柳梯桐生荔挺
HVH_022_000234	菜秀瓜生槿荣
HVH_022_000235	桃莺
HVH_022_000236	棗剥葵烹、杨柳春旅葭秋水未
HVH_022_000237	穫稻米茶薪樗芸已荣萍已生桃已卖四月秀
HVH_022_000238	六月食
HVH_022_000239	七月食瓜
HVH_022_000240	十月
HVH_022_000241	春日采繁
HVH_022_000242	冬時祭條桑迎
HVH_022_000243	夏旨蓄
HVH_022_000244	御冬豊凶三暑原佳夏乃有共宝漢招田旱跋為虐
HVH_022_000245	真曲豆凶龍岡太史書雲夫望歲
HVH_022_000246	以
HVH_022_000247	上天丈
HVH_022_000248	門干支呼庚誰諾易子
HVH_022_000249	堪憐豈無凶歲耀臧辰必有豊年言聞祁午火通逃之甲
HVH_022_000250	士有号泣
HVH_022_000251	丁卦名穀飞為蠱
HVH_022_000252	雨下興師崇比興歌
HVH_022_000253	化離致
HVH_022_000254	歎
HVH_022_000255	以
HVH_022_000256	上数目門市無赤米笑
HVH_022_000257	及黎民
HVH_022_000258	以上宋色
HVH_022_000259	門采色
HVH_022_000260	野無
HVH_022_000261	青草倉
HVH_022_000262	有红陳器具或輸粟於沉或偽耀而
HVH_022_000263	负以上器具門
HVH_022_000264	高物田無禽夏家有脉蹄之祝金生缘書於春秋蛇乘竜梓慎
HVH_022_000265	以上植物门
HVH_022_000266	以上
HVH_022_000267	卦
HVH_022_000268	名門
HVH_022_000269	崖
HVH_022_000270	地灑天堰
HVH_022_000271	海左合汉水為
HVH_022_000272	地江石合彭蟹南江幡冢導漾暖君地江彭
HVH_022_000273	既豬乃
HVH_022_000274	君南江之
HVH_022_000275	目佳
HVH_022_000276	駐
HVH_022_000277	最北津
HVH_022_000278	最高南東出氏道西出家道西
HVH_022_000279	流合馬池東流注於雞谷漢東地狼旱嶺西
HVH_022_000280	經魚山汝冢以東水皆
HVH_022_000281	東流家以西水皆西流汝淮
HVH_022_000282	自西而東注泗
HVH_022_000283	自地而南來
HVH_022_000284	以
HVH_022_000285	上方住門
HVH_022_000286	数目極四淮八柱九屋厚三美
HVH_022_000287	里周九
HVH_022_000288	手
HVH_022_000289	里地九四港地又七麦龍岡地理王屋四
HVH_022_000290	見而出淘邱济之水
HVH_022_000291	跨
HVH_022_000292	三州經流豫分派徐八海
HVH_022_000293	於青濟水有三名联又名初名為流亦名為
HVH_022_000294	淮為
HVH_022_000295	四
HVH_022_000296	瀆淮有三洲以
HVH_022_000297	上数目門
HVH_022_000298	東注雞谷
HVH_022_000299	西合馬
HVH_022_000300	池以上動物門
HVH_022_000301	青之
HVH_022_000302	西北灘沮為济之所出雷夏为之所
HVH_022_000303	鍾
HVH_022_000304	济之性急而
HVH_022_000305	善走
HVH_022_000306	漯之性柔
HVH_022_000307	而善附汝出豫州汉出梁
HVH_022_000308	州在梁州淀沧浪八江在荆州
HVH_022_000309	徒彭八海漠淮
HVH_022_000310	之言均淮言淮源出
HVH_022_000311	於
HVH_022_000312	豫放於而大
HVH_022_000313	於楊於場准之水
HVH_022_000314	浮於楊
HVH_022_000315	害於揚而甚
HVH_022_000316	於徐達泗達禹
HVH_022_000317	貢
HVH_022_000318	作楊川貢為湘為泗職方詳青州
HVH_022_000319	ミ川以上雜組門
HVH_022_000320	制藝精华二编卷之二
HVH_022_000321	龍网港倫常君道邳山以上地澳
HVH_022_000322	門千支甲夜见事
HVH_022_000323	乙夜
HVH_022_000324	書乙丑見祖訓王辛甲命官对以癸亥亡武以
HVH_022_000325	吉占顕泰明印
HVH_022_000326	作
HVH_022_000327	離烹鼎养
HVH_022_000328	贤
HVH_022_000329	汲开
HVH_022_000330	受
HVH_022_000331	福地辰居所西母呈圖東帝西帝
HVH_022_000332	東都西
HVH_022_000333	都
HVH_022_000334	才
HVH_022_000335	拉真邦开百路
HVH_022_000336	忘
HVH_022_000337	十
HVH_022_000338	龍网
HVH_022_000339	德
HVH_022_000340	萬國
HVH_022_000341	衣尉九天
HVH_022_000342	閣阖
HVH_022_000343	萬寓清
HVH_022_000344	百蛮服
HVH_022_000345	八荒至
HVH_022_000346	四夷宝
HVH_022_000347	政敷九
HVH_022_000348	有
HVH_022_000349	德合三
HVH_022_000350	無
HVH_022_000351	山
HVH_022_000352	萬歲
HVH_022_000353	河潤
HVH_022_000354	千年
HVH_022_000355	三四熟七
HVH_022_000356	穗五岐
HVH_022_000357	靈書八會
HVH_022_000358	玉券三华
HVH_022_000359	德邁九
HVH_022_000360	华
HVH_022_000361	功開萬宇
HVH_022_000362	凝董萬姓
HVH_022_000363	陶化八絃
HVH_022_000364	参
HVH_022_000365	乾两離
HVH_022_000366	十克
HVH_022_000367	九鲜九照清怡
HVH_022_000368	三灵和晏
HVH_022_000369	五風十雨
HVH_022_000370	一德九功
HVH_022_000371	一日萬幾
HVH_022_000372	一日十瑞
HVH_022_000373	五福備
HVH_022_000374	九叔歌
HVH_022_000375	一尊定
HVH_022_000376	六合为九如
HVH_022_000377	须萬物
HVH_022_000378	無二上事一
HVH_022_000379	人賓四門齊七政
HVH_022_000380	事用其
HVH_022_000381	五
HVH_022_000382	德備
HVH_022_000383	其三
HVH_022_000384	四目四聰
HVH_022_000385	一遊一豫協於一通以三
HVH_022_000386	華於三王
HVH_022_000387	極於五伯
HVH_022_000388	五緯
HVH_022_000389	顺軌八風御通神周四粤
HVH_022_000390	功运五期
HVH_022_000391	见二耀六诊
HVH_022_000392	智周萬物
HVH_022_000393	德合两儀
HVH_022_000394	以上
HVH_022_000395	数目门以上来色門
HVH_022_000396	河钧
HVH_022_000397	璜於水悬設
HVH_022_000398	鐸小共大球軒弥舜戚王雍金
HVH_022_000399	車竜
HVH_022_000400	員
HVH_022_000401	圖烏
HVH_022_000402	化王
HVH_022_000403	陵版耕禽旱
HVH_022_000404	澤藏網以上器
HVH_022_000405	具門
